Area,Percentage,xval,yval
blr_11-12.jpg,2.57,11,12
blr_11-13.jpg,6.7,11,13
blr_11-14.jpg,14.51,11,14
blr_11-15.jpg,0.48,11,15
blr_11-16.jpg,1.13,11,16
blr_11-17.jpg,0.32,11,17
blr_11-18.jpg,4.42,11,18
blr_11-19.jpg,0.11,11,19
blr_11-2.jpg,0.8,11,2
blr_11-20.jpg,4.84,11,20
blr_11-21.jpg,0.04,11,21
blr_11-22.jpg,2.18,11,22
blr_11-23.jpg,3.86,11,23
blr_11-24.jpg,13.11,11,24
blr_11-25.jpg,9.08,11,25
blr_11-26.jpg,0.92,11,26
blr_11-27.jpg,0.72,11,27
blr_11-28.jpg,4.58,11,28
blr_11-29.jpg,9.38,11,29
blr_11-3.jpg,4.29,11,3
blr_11-30.jpg,11.62,11,30
blr_11-31.jpg,8.49,11,31
blr_11-32.jpg,4.29,11,32
blr_11-33.jpg,8.21,11,33
blr_11-34.jpg,3.75,11,34
blr_11-35.jpg,7.96,11,35
blr_11-36.jpg,7.34,11,36
blr_11-37.jpg,2.51,11,37
blr_11-38.jpg,3.4,11,38
blr_11-39.jpg,9.1,11,39
blr_11-4.jpg,0.18,11,4
blr_11-40.jpg,2.97,11,40
blr_11-41.jpg,10.02,11,41
blr_11-42.jpg,7.35,11,42
blr_11-43.jpg,9.94,11,43
blr_11-44.jpg,2.31,11,44
blr_11-45.jpg,1.15,11,45
blr_11-46.jpg,6.99,11,46
blr_11-47.jpg,5.68,11,47
blr_11-48.jpg,2.04,11,48
blr_11-49.jpg,2.9,11,49
blr_11-5.jpg,4.08,11,5
blr_11-50.jpg,5.38,11,50
blr_11-51.jpg,4.41,11,51
blr_11-52.jpg,3.8,11,52
blr_11-53.jpg,4.74,11,53
blr_11-54.jpg,0.79,11,54
blr_11-55.jpg,1.57,11,55
blr_11-56.jpg,6.08,11,56
blr_11-57.jpg,4.24,11,57
blr_11-58.jpg,2.79,11,58
blr_11-59.jpg,3.31,11,59
blr_11-6.jpg,5.84,11,6
blr_11-60.jpg,1.8,11,60
blr_11-61.jpg,1.71,11,61
blr_11-62.jpg,1.26,11,62
blr_11-63.jpg,1.19,11,63
blr_11-64.jpg,0.35,11,64
blr_11-65.jpg,5.34,11,65
blr_11-66.jpg,15.84,11,66
blr_11-7.jpg,0.74,11,7
blr_11-8.jpg,0.78,11,8
blr_11-9.jpg,3.8,11,9
blr_12-1.jpg,0.49,12,1
blr_12-10.jpg,6.0,12,10
blr_12-11.jpg,0.44,12,11
blr_12-12.jpg,5.18,12,12
blr_12-13.jpg,0.42,12,13
blr_12-14.jpg,18.12,12,14
blr_12-15.jpg,5.27,12,15
blr_12-16.jpg,3.4,12,16
blr_12-17.jpg,1.08,12,17
blr_12-18.jpg,15.0,12,18
blr_12-19.jpg,1.13,12,19
blr_12-2.jpg,2.33,12,2
blr_12-20.jpg,1.14,12,20
blr_12-21.jpg,0.95,12,21
blr_12-22.jpg,0.49,12,22
blr_12-23.jpg,5.58,12,23
blr_12-24.jpg,3.0,12,24
blr_12-25.jpg,5.36,12,25
blr_12-26.jpg,8.87,12,26
blr_12-27.jpg,2.16,12,27
blr_12-28.jpg,9.55,12,28
blr_12-29.jpg,4.89,12,29
blr_12-3.jpg,0.83,12,3
blr_12-30.jpg,1.39,12,30
blr_12-31.jpg,4.97,12,31
blr_12-32.jpg,2.69,12,32
blr_12-33.jpg,5.16,12,33
blr_12-34.jpg,16.48,12,34
blr_12-35.jpg,9.33,12,35
blr_12-36.jpg,7.89,12,36
blr_12-37.jpg,4.63,12,37
blr_12-38.jpg,0.8,12,38
blr_12-39.jpg,2.52,12,39
blr_12-4.jpg,3.54,12,4
blr_12-40.jpg,1.7,12,40
blr_12-41.jpg,14.07,12,41
blr_12-42.jpg,6.37,12,42
blr_12-43.jpg,0.48,12,43
blr_12-44.jpg,1.66,12,44
blr_12-45.jpg,1.19,12,45
blr_12-46.jpg,4.01,12,46
blr_12-47.jpg,9.79,12,47
blr_12-48.jpg,7.03,12,48
blr_12-49.jpg,4.44,12,49
blr_12-5.jpg,2.64,12,5
blr_12-50.jpg,2.26,12,50
blr_12-51.jpg,5.42,12,51
blr_12-52.jpg,3.9,12,52
blr_12-53.jpg,1.0,12,53
