Area,Percentage,xval,yval
blr_10-23.tif,0,10,23
blr_10-24.tif,0,10,24
blr_10-25.tif,0,10,25
blr_10-27.tif,0,10,27
blr_10-28.tif,0,10,28
blr_10-29.tif,0,10,29
blr_10-3.tif,0,10,3
blr_10-30.tif,0,10,30
blr_10-31.tif,0,10,31
blr_10-32.tif,0,10,32
blr_10-33.tif,0,10,33
blr_10-34.tif,0,10,34
blr_10-35.tif,0,10,35
blr_10-36.tif,0,10,36
blr_10-37.tif,0,10,37
blr_10-38.tif,0,10,38
blr_10-39.tif,0,10,39
blr_10-4.tif,0,10,4
blr_10-40.tif,0,10,40
blr_10-41.tif,0,10,41
blr_10-43.tif,0,10,43
blr_10-44.tif,0,10,44
blr_10-45.tif,0,10,45
blr_10-46.tif,0,10,46
blr_10-47.tif,0,10,47
blr_10-48.tif,0,10,48
blr_10-49.tif,0,10,49
blr_10-5.tif,0,10,5
blr_10-50.tif,0,10,50
blr_10-51.tif,0,10,51
blr_10-52.tif,0,10,52
blr_10-53.tif,0,10,53
blr_10-54.tif,0,10,54
blr_10-55.tif,0,10,55
blr_10-56.tif,0,10,56
blr_10-57.tif,0,10,57
blr_10-58.tif,0,10,58
blr_10-6.tif,0,10,6
blr_10-60.tif,0,10,60
blr_10-61.tif,0,10,61
blr_10-62.tif,0,10,62
blr_10-63.tif,0,10,63
blr_10-64.tif,0,10,64
blr_10-65.tif,0,10,65
blr_10-66.tif,0,10,66
blr_10-67.tif,0,10,67
blr_10-68.tif,0,10,68
blr_10-69.tif,0,10,69
blr_10-7.tif,0,10,7
blr_10-70.tif,0,10,70
blr_10-71.tif,0,10,71
blr_10-72.tif,0,10,72
blr_10-8.tif,0,10,8
blr_10-9.tif,0,10,9
blr_11-10.tif,0,11,10
blr_11-11.tif,0,11,11
blr_11-12.tif,0,11,12
blr_11-13.tif,0,11,13
blr_11-14.tif,0,11,14
blr_11-15.tif,0,11,15
blr_11-16.tif,0,11,16
blr_11-17.tif,0,11,17
blr_11-18.tif,0,11,18
blr_11-19.tif,0,11,19
blr_11-2.tif,0,11,2
blr_11-20.tif,0,11,20
blr_11-21.tif,0,11,21
blr_11-22.tif,0,11,22
blr_11-23.tif,0,11,23
blr_11-24.tif,0,11,24
blr_11-25.tif,0,11,25
blr_11-27.tif,0,11,27
blr_11-28.tif,0,11,28
blr_11-29.tif,0,11,29
blr_11-3.tif,0,11,3
blr_11-30.tif,0,11,30
blr_11-31.tif,0,11,31
blr_11-32.tif,0,11,32
blr_11-33.tif,0,11,33
blr_11-34.tif,0,11,34
blr_11-35.tif,0,11,35
blr_11-36.tif,0,11,36
blr_11-37.tif,0,11,37
blr_11-38.tif,0,11,38
blr_11-39.tif,0,11,39
blr_11-4.tif,0,11,4
blr_11-40.tif,0,11,40
blr_11-41.tif,0,11,41
blr_11-43.tif,0,11,43
blr_11-44.tif,0,11,44
blr_11-45.tif,0,11,45
blr_11-46.tif,0,11,46
blr_11-47.tif,0,11,47
blr_11-48.tif,0,11,48
blr_11-49.tif,0,11,49
blr_11-5.tif,0,11,5
blr_11-50.tif,0,11,50
blr_11-51.tif,0,11,51
blr_11-52.tif,0,11,52
blr_11-53.tif,0,11,53
blr_11-54.tif,0,11,54
blr_11-55.tif,0,11,55
blr_11-56.tif,0,11,56
blr_11-57.tif,0,11,57
blr_11-58.tif,0,11,58
blr_11-6.tif,0,11,6
blr_11-60.tif,0,11,60
blr_11-61.tif,0,11,61
blr_11-62.tif,0,11,62
blr_11-63.tif,0,11,63
blr_11-64.tif,0,11,64
blr_11-65.tif,0,11,65
blr_11-66.tif,0,11,66
blr_11-67.tif,0,11,67
blr_11-68.tif,0,11,68
blr_11-69.tif,0,11,69
blr_11-7.tif,0,11,7
blr_11-70.tif,0,11,70
blr_11-71.tif,0,11,71
blr_11-72.tif,0,11,72
blr_11-8.tif,0,11,8
blr_11-9.tif,0,11,9
blr_12-10.tif,0,12,10
blr_12-11.tif,0,12,11
blr_12-12.tif,0,12,12
blr_12-13.tif,0,12,13
blr_12-14.tif,0,12,14
blr_12-15.tif,0,12,15
blr_12-16.tif,0,12,16
blr_12-17.tif,0,12,17
blr_12-18.tif,0,12,18
blr_12-19.tif,0,12,19
blr_12-2.tif,0,12,2
blr_12-20.tif,0,12,20
blr_12-21.tif,0,12,21
blr_12-22.tif,0,12,22
blr_12-23.tif,0,12,23
blr_12-24.tif,0,12,24
blr_12-25.tif,0,12,25
blr_12-27.tif,0,12,27
blr_12-28.tif,0,12,28
blr_12-29.tif,0,12,29
blr_12-3.tif,0,12,3
blr_12-30.tif,0,12,30
blr_12-31.tif,0,12,31
blr_12-32.tif,0,12,32
blr_12-33.tif,0,12,33
