D:/Work/CCBD/images2\bangalore_10-6.jpg,2.76
D:/Work/CCBD/images2\bangalore_10-60.jpg,10.28
D:/Work/CCBD/images2\bangalore_10-61.jpg,6.02
D:/Work/CCBD/images2\bangalore_10-62.jpg,4.49
D:/Work/CCBD/images2\bangalore_10-63.jpg,16.14
D:/Work/CCBD/images2\bangalore_10-64.jpg,2.71
D:/Work/CCBD/images2\bangalore_10-65.jpg,5.36
D:/Work/CCBD/images2\bangalore_10-66.jpg,15.41
D:/Work/CCBD/images2\bangalore_10-67.jpg,4.5
D:/Work/CCBD/images2\bangalore_10-68.jpg,2.88
D:/Work/CCBD/images2\bangalore_10-69.jpg,0.32
D:/Work/CCBD/images2\bangalore_10-7.jpg,3.27
D:/Work/CCBD/images2\bangalore_10-70.jpg,1.89
D:/Work/CCBD/images2\bangalore_10-71.jpg,4.93
D:/Work/CCBD/images2\bangalore_10-72.jpg,2.74
D:/Work/CCBD/images2\bangalore_10-73.jpg,0.89
D:/Work/CCBD/images2\bangalore_10-74.jpg,4.49
D:/Work/CCBD/images2\bangalore_10-75.jpg,4.48
D:/Work/CCBD/images2\bangalore_10-76.jpg,5.55
D:/Work/CCBD/images2\bangalore_10-77.jpg,2.43
D:/Work/CCBD/images2\bangalore_10-78.jpg,1.59
D:/Work/CCBD/images2\bangalore_10-79.jpg,2.9
D:/Work/CCBD/images2\bangalore_10-8.jpg,4.05
D:/Work/CCBD/images2\bangalore_10-80.jpg,6.47
D:/Work/CCBD/images2\bangalore_10-81.jpg,3.41
D:/Work/CCBD/images2\bangalore_10-82.jpg,0.99
D:/Work/CCBD/images2\bangalore_10-83.jpg,5.38
D:/Work/CCBD/images2\bangalore_10-84.jpg,5.66
D:/Work/CCBD/images2\bangalore_10-85.jpg,0.84
D:/Work/CCBD/images2\bangalore_10-86.jpg,0.73
D:/Work/CCBD/images2\bangalore_10-87.jpg,2.59
D:/Work/CCBD/images2\bangalore_10-88.jpg,0.42
D:/Work/CCBD/images2\bangalore_10-89.jpg,0.7
D:/Work/CCBD/images2\bangalore_10-9.jpg,0.04
D:/Work/CCBD/images2\bangalore_10-90.jpg,26.28
D:/Work/CCBD/images2\bangalore_10-91.jpg,4.45
D:/Work/CCBD/images2\bangalore_10-92.jpg,7.26
D:/Work/CCBD/images2\bangalore_10-93.jpg,2.68
D:/Work/CCBD/images2\bangalore_10-94.jpg,0.75
D:/Work/CCBD/images2\bangalore_10-95.jpg,3.41
D:/Work/CCBD/images2\bangalore_10-96.jpg,0.08
D:/Work/CCBD/images2\bangalore_10-97.jpg,0.07
D:/Work/CCBD/images2\bangalore_10-98.jpg,0.8
D:/Work/CCBD/images2\bangalore_10-99.jpg,0.02
D:/Work/CCBD/images2\bangalore_100-1.jpg,0.02
D:/Work/CCBD/images2\bangalore_100-10.jpg,0.03
D:/Work/CCBD/images2\bangalore_100-100.jpg,29.41
D:/Work/CCBD/images2\bangalore_100-101.jpg,12.16
D:/Work/CCBD/images2\bangalore_100-102.jpg,0.15
D:/Work/CCBD/images2\bangalore_100-103.jpg,0.58
D:/Work/CCBD/images2\bangalore_100-104.jpg,2.79
D:/Work/CCBD/images2\bangalore_100-105.jpg,0.04
D:/Work/CCBD/images2\bangalore_100-106.jpg,0.01
D:/Work/CCBD/images2\bangalore_100-107.jpg,0.2
D:/Work/CCBD/images2\bangalore_100-108.jpg,0.13
D:/Work/CCBD/images2\bangalore_100-109.jpg,0.08
D:/Work/CCBD/images2\bangalore_100-11.jpg,1.31
D:/Work/CCBD/images2\bangalore_100-110.jpg,0.1
D:/Work/CCBD/images2\bangalore_100-111.jpg,0.41
D:/Work/CCBD/images2\bangalore_100-112.jpg,0.06
D:/Work/CCBD/images2\bangalore_100-113.jpg,0.34
D:/Work/CCBD/images2\bangalore_100-12.jpg,0.31
D:/Work/CCBD/images2\bangalore_100-13.jpg,1.07
D:/Work/CCBD/images2\bangalore_100-14.jpg,0.98
D:/Work/CCBD/images2\bangalore_100-15.jpg,0.31
D:/Work/CCBD/images2\bangalore_100-16.jpg,1.53
D:/Work/CCBD/images2\bangalore_100-17.jpg,1.67
D:/Work/CCBD/images2\bangalore_100-18.jpg,0.63
D:/Work/CCBD/images2\bangalore_100-19.jpg,0.95
D:/Work/CCBD/images2\bangalore_100-2.jpg,0.31
D:/Work/CCBD/images2\bangalore_100-20.jpg,4.92
D:/Work/CCBD/images2\bangalore_100-21.jpg,0.34
D:/Work/CCBD/images2\bangalore_100-22.jpg,1.75
D:/Work/CCBD/images2\bangalore_100-23.jpg,0.26
D:/Work/CCBD/images2\bangalore_100-24.jpg,0.37
D:/Work/CCBD/images2\bangalore_100-25.jpg,4.83
D:/Work/CCBD/images2\bangalore_100-26.jpg,0.87
D:/Work/CCBD/images2\bangalore_100-27.jpg,1.28
D:/Work/CCBD/images2\bangalore_100-28.jpg,3.73
D:/Work/CCBD/images2\bangalore_100-29.jpg,2.5
D:/Work/CCBD/images2\bangalore_100-3.jpg,0.95
D:/Work/CCBD/images2\bangalore_100-30.jpg,4.52
D:/Work/CCBD/images2\bangalore_100-31.jpg,2.26
D:/Work/CCBD/images2\bangalore_100-32.jpg,4.58
D:/Work/CCBD/images2\bangalore_100-33.jpg,0.6
D:/Work/CCBD/images2\bangalore_100-34.jpg,2.67
D:/Work/CCBD/images2\bangalore_100-35.jpg,3.01
D:/Work/CCBD/images2\bangalore_100-36.jpg,2.54
D:/Work/CCBD/images2\bangalore_100-37.jpg,1.37
D:/Work/CCBD/images2\bangalore_100-38.jpg,0.69
D:/Work/CCBD/images2\bangalore_100-39.jpg,0.75
D:/Work/CCBD/images2\bangalore_100-4.jpg,0.04
