Number,Latitude,Longitude,Percentage
66,12.765072584152222,77.34261274337769,0.95
67,13.111141920089722,77.34261274337769,2.07
68,13.105734586715698,77.34261274337769,2.04
69,13.100327253341675,77.34804153442383,3.68
70,13.094919919967651,77.34804153442383,5.67
71,13.089512586593628,77.34804153442383,3.97
72,13.084105253219604,77.34804153442383,2.81
73,13.078697919845581,77.34804153442383,6.36
74,13.073290586471558,77.34804153442383,2.78
75,13.067883253097534,77.34804153442383,4.78
76,13.06247591972351,77.34804153442383,1.79
77,13.057068586349487,77.34804153442383,1.67
78,13.051661252975464,77.34804153442383,6.92
79,13.143585920333862,77.34804153442383,4.3
80,13.04625391960144,77.34804153442383,4.34
81,13.040846586227415,77.34804153442383,1.95
82,13.035439252853394,77.34804153442383,0.45
83,13.03003191947937,77.34804153442383,1.67
84,13.024624586105347,77.34804153442383,0.26
85,13.019217252731323,77.34804153442383,2.74
86,13.008402585983276,77.34804153442383,1.06
87,13.002995252609253,77.34804153442383,1.91
88,12.99758791923523,77.34804153442383,0.16
89,13.138178586959839,77.34804153442383,5.86
90,12.992180585861206,77.34804153442383,3.51
91,12.986773252487184,77.34804153442383,2.85
92,12.98136591911316,77.34804153442383,0.36
93,12.975958585739136,77.34804153442383,31.77
94,12.970551252365112,77.34804153442383,3.18
95,12.965143918991089,77.34804153442383,0.57
96,12.959736585617065,77.34804153442383,0.9
97,12.954329252243042,77.34804153442383,0.22
98,12.948921918869019,77.34804153442383,0.24
99,12.943514585494995,77.34804153442383,0.19
100,13.132771253585815,77.34804153442383,3.39
101,12.938107252120972,77.34804153442383,0.04
102,12.932699918746948,77.34804153442383,3.02
103,13.019217252731323,77.34261274337769,1.71
104,12.932699918746948,77.34261274337769,1.41
105,12.84077525138855,77.34261274337769,0.44
106,13.148993253707886,77.39147186279297,0.35
107,13.0138099193573,77.39147186279297,3.92
108,12.927292585372925,77.39147186279297,0.48
109,12.835367918014526,77.39147186279297,3.44
110,13.148993253707886,77.39690065383911,0.59
111,13.0138099193573,77.39690065383911,2.24
112,12.927292585372925,77.39690065383911,2.97
113,12.835367918014526,77.39690065383911,2.76
114,13.148993253707886,77.40232944488525,1.39
115,13.0138099193573,77.40232944488525,0.4
116,12.927292585372925,77.40232944488525,3.32
117,12.835367918014526,77.40232944488525,7.97
118,13.148993253707886,77.40775823593141,1.6
119,12.921885251998901,77.34804153442383,0.0
120,12.916477918624878,77.34804153442383,0.52
121,12.911070585250854,77.34804153442383,2.69
122,12.905663251876831,77.34804153442383,0.49
123,12.900255918502808,77.34804153442383,0.01
124,12.894848585128784,77.34804153442383,0.0
125,12.88944125175476,77.34804153442383,0.39
126,13.127363920211792,77.34804153442383,0.85
127,12.884033918380736,77.34804153442383,0.12
128,12.878626585006714,77.34804153442383,1.99
129,12.87321925163269,77.34804153442383,0.05
130,12.867811918258667,77.34804153442383,0.32
131,12.862404584884644,77.34804153442383,0.33
132,12.85699725151062,77.34804153442383,1.68
133,12.851589918136597,77.34804153442383,0.85
134,12.846182584762573,77.34804153442383,1.9
135,12.84077525138855,77.34804153442383,0.21
136,13.121956586837769,77.34804153442383,0.12
137,12.829960584640505,77.34804153442383,0.24
138,12.82455325126648,77.34804153442383,0.17
139,12.819145917892456,77.34804153442383,0.68
140,12.813738584518433,77.34804153442383,0.65
141,12.80833125114441,77.34804153442383,0.8
142,12.802923917770386,77.34804153442383,1.72
143,12.797516584396362,77.34804153442383,0.12
144,12.792109251022339,77.34804153442383,0.49
145,12.786701917648315,77.34804153442383,0.08
146,12.781294584274292,77.34804153442383,0.25
147,13.116549253463745,77.34804153442383,0.82
148,12.775887250900269,77.34804153442383,0.05
149,12.770479917526245,77.34804153442383,1.63
150,12.765072584152222,77.34804153442383,0.96
151,13.111141920089722,77.34804153442383,1.35
152,13.105734586715698,77.34804153442383,3.54
153,13.148993253707886,77.44575977325441,0.02
154,13.094919919967651,77.35347032546997,8.53
155,13.089512586593628,77.35347032546997,1.59
156,13.084105253219604,77.35347032546997,2.8
157,13.078697919845581,77.35347032546997,0.45
158,13.073290586471558,77.35347032546997,0.22
159,13.067883253097534,77.35347032546997,0.83
160,13.06247591972351,77.35347032546997,1.19
161,13.057068586349487,77.35347032546997,0.56
162,13.051661252975464,77.35347032546997,1.59
163,13.143585920333862,77.35347032546997,1.03
164,13.04625391960144,77.35347032546997,3.09
165,13.040846586227415,77.35347032546997,3.5
166,13.035439252853394,77.35347032546997,4.73
167,13.03003191947937,77.35347032546997,0.47
168,13.024624586105347,77.35347032546997,0.06
169,13.019217252731323,77.35347032546997,0.05
170,13.0138099193573,77.35347032546997,0.78
171,13.002995252609253,77.35347032546997,1.54
172,12.99758791923523,77.35347032546997,0.73
173,13.138178586959839,77.35347032546997,2.65
